States,virc 0-10,virc 10-14,virc 14-18,virc 18-30,virc 30-50,virc 50-dead,vorc 0-10,vorc 10-14,vorc 14-18,vorc 18-30,vorc 30-50,vorc 50-dead,vtrc 0-10,vtrc 10-14,vtrc 14-18,vtrc 18-30,vtrc 30-50,vtrc 50-dead
Andhra Pradesh,1,0,3,1,0,0,54,145,160,515,130,7,55,145,163,516,130,7
Arunachal Pradesh,0,0,0,0,0,0,2,9,0,31,0,0,2,9,0,31,0,0
Assam,0,0,0,14,1,0,7,0,0,843,292,14,7,0,0,857,293,14
Bihar,0,0,0,5,1,0,0,3,0,1013,362,6,0,3,0,1018,363,6
Chhattisgarh,2,6,30,30,9,1,12,55,203,396,217,8,14,61,233,426,226,9
Goa,0,0,1,0,0,0,8,7,4,12,5,0,8,7,5,12,5,0
Gujarat,0,2,2,7,3,0,12,25,55,187,44,2,12,27,57,194,47,2
Haryana,0,0,3,13,4,0,2,2,17,302,43,0,2,2,20,315,47,0
Himachal Pradesh,0,2,1,3,2,0,4,9,16,65,46,5,4,11,17,68,48,5
Jammu & Kashmir,0,0,0,1,0,0,2,0,2,169,44,0,2,0,2,170,44,0
Jharkhand,0,0,4,11,3,0,0,0,39,665,75,0,0,0,43,676,78,0
Karnataka,2,1,0,4,0,0,13,14,12,197,48,0,15,15,12,201,48,0
Kerala,0,0,2,1,0,0,19,36,102,257,57,6,19,36,104,258,57,6
Madhya Pradesh,3,5,24,24,7,0,89,275,314,1649,471,14,92,280,338,1673,478,14
Maharashtra,3,5,15,8,1,0,82,128,404,619,122,5,85,133,419,627,123,5
Manipur,0,0,0,0,0,0,4,0,2,20,5,0,4,0,2,20,5,0
Meghalaya,0,3,0,1,0,0,3,5,9,33,0,0,3,8,9,34,0,0
Mizoram,0,0,0,0,0,0,0,0,0,12,8,0,0,0,0,12,8,0
Nagaland,0,0,0,0,0,0,1,0,0,17,0,0,1,0,0,17,0,0
Orissa,0,1,0,0,0,0,27,1,2,616,123,0,27,2,2,616,123,0
Punjab,0,2,6,45,12,0,7,10,29,217,62,0,7,12,35,262,74,0
Rajasthan,0,6,7,17,9,0,10,35,79,628,240,7,10,41,86,645,249,7
Sikkim,0,0,0,0,0,0,0,1,1,0,2,0,0,1,1,0,2,0
Tamil Nadu,0,0,7,29,0,0,34,50,78,388,30,3,34,50,85,417,30,3
Tripura,0,0,1,0,0,0,7,7,13,109,23,0,7,7,14,109,23,0
Uttar Pradesh,0,2,21,9,3,0,53,97,221,829,160,2,53,99,242,838,163,2
Uttarakhand,0,0,1,8,4,0,2,6,8,64,22,0,2,6,9,72,26,0
West Bengal,0,0,0,17,7,0,2,3,14,948,483,1,2,3,14,965,490,1
